20015548_25009380.pdf;21511504;PV;001;448,00;448,00;,00;,00;IM40;EUR;30/10/25;
IT00141290353_25009558.pdf;21511672;PV;001;256,20;210,00;,00;46,20;IM22A2;EUR;31/10/25;
IT00891230153_25008945.pdf;21511004;PV;001;852,66;698,90;,00;153,76;IM22;EUR;20/10/25;
IT00891230153_25008945.pdf;21511004;PV;002;1545,00;1545,00;,00;,00;IM64;EUR;20/10/25;
IT00891230153_25008945.pdf;21511004;PV;003;2,00;2,00;,00;,00;IM66;EUR;20/10/25;
20042952_25009242.pdf;21511508;PV;001;9,60;9,60;,00;,00;IM66;EUR;30/10/25;
IT04209680158_25009071.pdf;21511143;PV;001;3,86;3,86;,00;,00;IM66;EUR;22/10/25;
IT04209680158_25009071.pdf;21511143;PV;002;32,94;27,00;,00;5,94;IM22;EUR;22/10/25;
IT01975500354_25006926.pdf;21508580;PV;001;38065,04;38065,04;,00;,00;IM63;EUR;07/08/25;
IT03680120361_25008753.pdf;21510845;PV;001;562,73;461,25;,00;101,48;IM22;EUR;15/10/25;
20016841_25009227.pdf;21511350;PV;001;35,00;35,00;,00;,00;IM41;EUR;27/10/25;
20015548_25008770.pdf;21510883;PD;001;-16,50;-16,50;,00;,00;IM41;EUR;15/10/25;
IT01174150357_25008799.pdf;21510911;PV;001;13615,82;11160,51;,00;2455,31;IM22;EUR;16/10/25;
IT02556300206_25008674.pdf;21510850;PD;001;-1525,00;-1250,00;,00;-275,00;IM22;EUR;15/10/25;
IT00552020984_25009480.pdf;21511604;PV;001;1070,00;1070,00;,00;,00;IM63;EUR;31/10/25;
IT00552020984_25009480.pdf;21511604;PV;002;2,00;2,00;,00;,00;IM66;EUR;31/10/25;
20015548_25008768.pdf;21510876;PV;001;91,97;91,97;,00;,00;IM40;EUR;15/10/25;
20015548_25008768.pdf;21510876;PV;002;102,20;102,20;,00;,00;IM41;EUR;15/10/25;
20029723_25009427.pdf;21511540;PL;001;1760,00;,00;1760,00;,00;NOIVA;EUR;30/10/25;
20029723_25009425.pdf;21511576;PL;001;282,38;,00;282,38;,00;NOIVA;EUR;30/10/25;
IT02495130011_25006093.pdf;21507514;PV;001;1167,17;956,70;,00;210,47;IM22;EUR;16/07/25;
IT01174150357_25008789.pdf;21510907;PV;001;245,78;201,46;,00;44,32;IM22;EUR;16/10/25;
20029723_25009256.pdf;21511381;PL;001;878,73;,00;878,73;,00;NOIVA;EUR;28/10/25;
IT12987150963_25009366.pdf;21511463;PV;001;748,74;613,72;,00;135,02;IM22;EUR;30/10/25;
IT00891230153_25008974.pdf;21511008;PV;001;288,53;236,50;,00;52,03;IM22;EUR;20/10/25;
IT00891230153_25008974.pdf;21511008;PV;002;475,00;475,00;,00;,00;IM64;EUR;20/10/25;
IT00891230153_25008974.pdf;21511008;PV;003;2,00;2,00;,00;,00;IM66;EUR;20/10/25;
20029723_25009441.pdf;21511552;PL;001;573,30;,00;573,30;,00;NOIVA;EUR;30/10/25;
20010809_25009011.pdf;21511081;PV;001;40,00;40,00;,00;,00;IM87;EUR;21/10/25;
IT08352200151_25009318.pdf;21511390;PV;001;948,00;948,00;,00;,00;IM63;EUR;28/10/25;
IT08352200151_25009318.pdf;21511390;PV;002;2,00;2,00;,00;,00;IM66;EUR;28/10/25;
IT02690180365_25009270.pdf;21511275;PV;001;846,23;846,23;,00;,00;IM63;EUR;27/10/25;
IT02690180365_25009270.pdf;21511275;PV;002;2,00;2,00;,00;,00;IM66;EUR;27/10/25;
IT00753490366_25009292.pdf;21511324;PV;001;28,98;23,75;,00;5,23;IM22;EUR;27/10/25;
IT03197250404_25008593.pdf;21511182;PV;001;988,20;810,00;,00;178,20;IM22;EUR;23/10/25;
20029723_25009257.pdf;21511385;PL;001;1548,13;,00;1548,13;,00;NOIVA;EUR;28/10/25;
20018797_25009165.pdf;21511170;PV;001;2808,00;2808,00;,00;,00;IM40;EUR;23/10/25;
IT11926150969_25009332.pdf;21511421;PV;001;139,63;114,45;,00;25,18;IM22;EUR;28/10/25;
IT07305361003_25008997.pdf;21510994;PV;001;351,48;288,10;,00;63,38;IM22;EUR;20/10/25;
IT01718630351_25009098.pdf;21511241;PV;001;793,00;650,00;,00;143,00;IM22;EUR;24/10/25;
20015548_25009240.pdf;21511337;PD;001;-648,40;-648,40;,00;,00;IM41;EUR;27/10/25;
20029723_25009436.pdf;21511550;PL;001;1161,00;,00;1161,00;,00;NOIVA;EUR;30/10/25;
IT00379960289_25009385.pdf;21511506;PV;001;120,00;120,00;,00;,00;IM63;EUR;30/10/25;
IT00379960289_25009385.pdf;21511506;PV;002;2,00;2,00;,00;,00;IM66;EUR;30/10/25;
20015548_25009207.pdf;21511336;PD;001;-184,93;-184,93;,00;,00;IM40;EUR;27/10/25;
IT03740811207_25009350.pdf;21511448;PV;001;448,27;448,27;,00;,00;IM66;EUR;29/10/25;
20042102_25009530.pdf;21511643;PL;001;21,42;21,42;,00;,00;IM40;EUR;31/10/25;
IT02267810964_25009174.pdf;21511329;PV;001;180,32;147,80;,00;32,52;IM22;EUR;27/10/25;
20042102_25009531.pdf;21511645;PL;001;774,90;774,90;,00;,00;IM40;EUR;31/10/25;
IT01566180350_25009101.pdf;21511397;PV;001;1910,97;1566,38;,00;344,59;IM22;EUR;28/10/25;
IT02253100032_25008512.pdf;21510505;PV;001;466,92;382,72;,00;84,20;IM22;EUR;08/10/25;
IT13397910962_25009151.pdf;21511398;PV;001;26,71;21,89;,00;4,82;IM22;EUR;28/10/25;
IT03222820213_25008595.pdf;21511261;PV;001;9380,34;7688,80;,00;1691,54;IM22;EUR;27/10/25;
IT03222820213_25008595.pdf;21511261;PV;002;899,68;899,68;,00;,00;IM64;EUR;27/10/25;
20016841_25009222.pdf;21511346;PV;001;140,00;140,00;,00;,00;IM41;EUR;27/10/25;
20029723_25009472.pdf;21511585;PL;001;788,40;,00;788,40;,00;NOIVA;EUR;30/10/25;
20029723_25009472.pdf;21511585;PL;002;1060,00;,00;1060,00;,00;NOIVA;EUR;30/10/25;
IT01714530357_25008598.pdf;21510522;PV;001;568,52;466,00;,00;102,52;IM22;EUR;09/10/25;
IT01657140354_25009309.pdf;21511525;PV;001;1877,27;1877,27;,00;,00;IM63;EUR;30/10/25;
IT01795550357_25008764.pdf;21510587;PD;001;-26,08;-26,08;,00;,00;IM63;EUR;10/10/25;
20019448_25009415.pdf;21511600;PV;001;11946,97;11946,97;,00;,00;IM63BD;EUR;30/10/25;
20029723_25009429.pdf;21511541;PL;001;1060,00;,00;1060,00;,00;NOIVA;EUR;30/10/25;
IT03822240960_25009394.pdf;21511473;PV;001;21283,83;17445,76;,00;3838,07;IM22;EUR;30/10/25;
IT02286350364_25008349.pdf;21510293;PV;001;2582,00;2582,00;,00;,00;IM63;EUR;30/09/25;
IT02286350364_25008349.pdf;21510293;PV;002;2,00;2,00;,00;,00;IM66;EUR;30/09/25;
20015548_25009235.pdf;21511310;PV;001;291,20;291,20;,00;,00;IM41;EUR;27/10/25;
20010953_25008326.pdf;21510191;PV;001;60,00;60,00;,00;,00;IM41;EUR;30/09/25;
IT02690180365_25009265.pdf;21511276;PV;001;796,25;796,25;,00;,00;IM63;EUR;27/10/25;
IT02690180365_25009265.pdf;21511276;PV;002;2,00;2,00;,00;,00;IM66;EUR;27/10/25;
IT00753490366_25009290.pdf;21511325;PV;001;7730,55;6336,52;,00;1394,03;IM22;EUR;27/10/25;
IT01921910152_25009279.pdf;21511286;PV;001;74,22;74,22;,00;,00;IM66;EUR;27/10/25;
IT00141290353_25009182.pdf;21511198;PV;001;100,22;82,15;,00;18,07;IM22A2;EUR;23/10/25;
20029723_25009464.pdf;21511566;PL;001;648,40;,00;648,40;,00;NOIVA;EUR;30/10/25;
20029723_25009464.pdf;21511566;PL;002;635,00;,00;635,00;,00;NOIVA;EUR;30/10/25;
20029723_25009434.pdf;21511574;PL;001;762,00;,00;762,00;,00;NOIVA;EUR;30/10/25;
IT00381800358_25009336.pdf;21511425;PV;001;6950,40;6950,40;,00;,00;IM63;EUR;28/10/25;
IT09399880153_25009185.pdf;21511264;PD;001;-244,00;-200,00;,00;-44,00;IM22;EUR;27/10/25;
IT12949870153_25009100.pdf;21511239;PV;001;353,80;290,00;,00;63,80;IM22;EUR;24/10/25;
20029723_25009435.pdf;21511554;PL;001;632,00;,00;632,00;,00;NOIVA;EUR;30/10/25;
